时间,博主,内容,点赞,转发,评论,分词
"
                        2022年07月11日 16:29
                        ",怕是你婆娘是老王的哟,"
 钟薛高[雪糕刺客]🤮 雪莲，老北京，老冰棍 [雪糕护卫] ​ ",赞, , 评论,钟薛高 雪糕 刺客 雪莲 北京 冰棍 雪糕 护卫
"
                        2022年07月11日 16:24
                        ",陇南武都发布,"
 【 平价雪糕们去哪儿了？】由雪糕引发的社会情绪在这个夏天蔓延，被社交媒体翻牌的“雪莲冰”们似乎有了机遇。不过，也有网友已经发现，自己所在的城市，找不到网上爆火的雪莲冰。 记者发现，杭州各大写字楼冰柜内大多齐整地陈列着一系列品牌雪糕，“日常卖得最好的是5元左 ​ ",赞, , 评论,平价 雪糕 雪糕 引发 社会 情绪 夏天 蔓延 社交 媒体 翻牌 雪莲 机遇 网友 发现 城市 不到 网上 爆火 雪莲 记者 发现 杭州 写字楼 冰柜 齐整 陈列 一系列 品牌 雪糕 日常
"
                        2022年07月11日 16:22
                        ",兽医丁泓淦,"
 这肯定收钱了呀。哈根达斯的品牌是有溢价的，钟薛高这品牌虚假宣传都被罚了几次了(重点还是用料作假)，他配么？ 现在假如爱马仕出个冰淇淋卖10块绝对没人骂，因为人家放在爱马仕专卖店里头卖。你特么钟薛高既当又立，不被骂才怪 ",3, , 3,肯定 收钱 哈根达斯 品牌 溢价 钟薛高 品牌 虚假 宣传 几次 重点 用料 作假 配么 爱马仕 冰淇淋 放在 爱马仕 专卖店 里头 特么 钟薛高 既当
"
                        2022年07月11日 16:21
                        ",雅未ke,"
 这次是真有点急眼了😭 ​ ",1, , 评论,急眼
"
                        2022年07月11日 16:20
                        ",红星网络电视台传媒集团,"
 【 】罗永浩谈钟薛高卖得贵！称品质碾压式好过哈根达斯，网友：让人讨厌的原因是当刺客 7月10日，罗永浩在交个朋友直播间中谈到近日有关钟薛高的争议。罗永浩表示：第一，钟薛高按质量算价格没有哈根达斯贵；第二，在价格比哈根达斯便宜的情况下，钟薛高的品质一定是碾压式的好 ​ ",3, , 评论,罗永浩 钟薛高 品质 碾压 好过 哈根达斯 网友 讨厌 原因 刺客 罗永浩 朋友 直播间 谈到 近日 钟薛高 争议 罗永浩 第一 钟薛高 质量 价格 哈根达斯 价格比 哈根达斯 便宜 情况 钟薛高 品质 碾压
"
                        2022年07月11日 16:19
                        ",快乐工作不加班陈,"
 / :不知道我还以为钟薛高犯了多大的事，全网讨伐，可是真正为影响生活的事情却没看到多少人转发/ :期房刺客，存款刺客没人管，忙着抓雪糕刺客 ",赞, , 评论,钟薛高 全网 讨伐 影响 生活 事情 转发 期房 刺客 存款 刺客 没人管 雪糕 刺客
"
                        2022年07月11日 16:19
                        ",音音沐夏-张函瑞换灯牌道歉,"
 [雪糕刺客]钟薛高 绮炫 [雪糕护卫]雪莲 老冰棍 小布丁 绿色心情 ​ ",4, , 6,雪糕 刺客 钟薛高 绮炫 雪糕 护卫 雪莲 冰棍 布丁 绿色 心情
"
                        2022年07月11日 16:09
                        ",会花艺的慧仔,"
 关于“雪糕刺客”钟薛高 第一次买钟薛高吃的时候，我就把他当成普通的雪糕吃掉，所以根本没有仔细去品味，就好像猪八戒吃人生果一样，竟然都没有细品它到底有什么不一样，所以后来也没有觉得它到底那里特别，除了价格。 有一天看到一个朋友圈一个喜欢发自己生活状态的一个微友，晒了一条朋友圈，说一群 ​ ",赞, , 评论,雪糕 刺客 钟薛高 第一次 钟薛高 当成 雪糕 吃掉 仔细 品味 好像 猪八戒 人生 细品 特别 价格 朋友圈 喜欢 生活 状态 微友 一条 朋友圈 一群
"
                        2022年07月11日 16:09
                        ",观潮新消费,"
 【观潮周报 | 多部门推进国潮品牌建设；钟薛高再度回应争议】聚焦国潮前沿，关注消费热点。 ​ ",赞, , 评论,观潮 周报 部门 推进 国潮 品牌 建设 钟薛高 再度 回应 争议 聚焦 国潮 前沿 关注 消费 热点
"
                        2022年07月11日 16:08
                        ",欣欣念念6918,"
 [雪糕刺客]钟薛高 [雪糕护卫]五块钱以下的都算便宜了… ",赞, , 评论,雪糕 刺客 钟薛高 雪糕 护卫 五块 便宜
"
                        2022年07月11日 16:00
                        ",李家的李喋喋,"
 雪糕刺客：钟薛高[雪糕刺客] 雪糕护卫：雪莲[雪糕护卫] ​ ",1, , 评论,雪糕 刺客 钟薛高 雪糕 刺客 雪糕 护卫 雪莲 雪糕 护卫
"
                        2022年07月11日 15:58
                        ",会玩君wpgmedia,"
 男子突发奇想“油炸”钟薛高 最近雪糕刺客钟薛高频上热搜，网络上有关高温、火烧不化的测试，引发不少人对其高价下的质量问题的担忧。 江西宜春一男子突发奇想，将钟薛高雪糕进行包糠油炸。 结果让人出乎意料，雪糕裹上面包糠放入油锅，稍微油炸一会儿就出锅，出油锅后雪糕也没有融化，还保持原有的形 ​ ",赞, , 评论,男子 突发奇想 油炸 钟薛高 雪糕 刺客 钟薛高 频上 网络 高温 火烧 不化 测试 引发 高价 质量 担忧 江西 宜春 男子 突发奇想 钟薛高 雪糕 包糠 油炸 出乎意料 雪糕 面包 放入 油锅 稍微 油炸 一会儿 油锅 雪糕 融化 原有
"
                        2022年07月11日 15:57
                        ",种花家小忆,"
 真的要被抖人笑死：为中国第一颗综合性太阳探测卫星征名（为它起个耐高温的）抖人：钟薛高1号。 ​ ",13, , 评论,真的 中国 第一颗 综合性 太阳 探测 卫星 征名 耐高温 钟薛高
"
                        2022年07月11日 15:57
                        ",Annnilu,"
 面对钟薛高还是选择了雀巢 ​ ",1, , 评论,面对 钟薛高 选择 雀巢
"
                        2022年07月11日 15:57
                        ",eddyontour新新旅程,"
 老罗这个逻辑不对。哈根达斯在国内，那是包含了奢侈品溢价的，钟薛高凭啥溢价？奢侈品跟吃的不太好比的话，就拿餐饮来比。海底捞的火锅也是比别的火锅贵的多的。 ",赞, , 评论,老罗 逻辑 哈根达斯 国内 包含 奢侈品 溢价 钟薛高 溢价 奢侈品 不太好 餐饮 海底 火锅 火锅
"
                        2022年07月11日 15:55
                        ",新博弈官微,"
 关于 的争议还在继续。 7月8日， 的词条登上微博热搜榜一，截至目前，该话题累计阅读量已经突破4亿。作为“雪糕刺客”的代表，从最初高价引发关注，到后来“高温不化”、“烧不化”等舆论危机，钟薛高被推向舆论的“暴风眼”。 ​ ",赞, , 评论,争议 词条 登上 博热 搜榜 话题 累计 阅读 突破 雪糕 刺客 代表 最初 高价 引发 关注 高温 不化 烧不化 舆论 危机 钟薛高 推向 舆论 暴风
"
                        2022年07月11日 15:55
                        ",心尖儿可人儿,"
 除了钟薛高，各大景区的文创雪糕也是“雪糕刺客” ​ ",赞, , 评论,钟薛高 景区 文创 雪糕 雪糕 刺客
"
                        2022年07月11日 15:55
                        ",reiuevE,"
 [雪糕刺客]：钟薛高[成人礼] [雪糕护卫]：老冰棍、雪莲、小布丁 ​ ",2, , 评论,雪糕 刺客 钟薛高 成人礼 雪糕 护卫 冰棍 雪莲 布丁
"
                        2022年07月11日 15:54
                        ",Reynard胖达小号供建材,"
 / :没人不让它贵，起码明码标价愿者上钩，或者质量配上它的价格吧/ :又开始卖彪，因为一个是冰淇淋，一个是雪糕 ",赞, , 评论,不让 起码 明码标价 愿者上钩 质量 配上 价格 冰淇淋 雪糕
"
                        2022年07月11日 15:53
                        ",功牛炖汤牛肉南安溪美店,"
 钟薛高名字的来源就是“中雪糕”的谐音。意思为“中国式的雪糕”。钟薛高采用独特的中式瓦片型设计，辅以顶部“回”字花纹，意为“回归”本味，希望价格也回归百姓！ ​ ",1, , 1,钟薛高 名字 来源 雪糕 谐音 中国式 雪糕 钟薛高 采用 独特 中式 瓦片 设计 辅以 顶部 花纹 回归 本味 希望 价格 回归 百姓
"
                        2022年07月11日 15:47
                        ",Fashion指北针,"
 针对网上的种质疑，钟薛高也曾多次发文，强调其配方的安全性，但网上还有很多消费者表示质疑“到底添加了各种胶的雪糕还能不能吃”“雪糕配方表上的各种成分到底是什么东西”“雪糕应该要怎么样选购”。今天就带你扒一扒配方表上的各种“看不懂”的 ​ ",赞, , 评论,网上 质疑 钟薛高 曾多次 发文 配方 安全性 网上 消费者 质疑 添加 雪糕 雪糕 配方 表上 成分 东西 雪糕 选购 配方 表上 看不懂
"
                        2022年07月11日 15:46
                        ",彭于晏南陵分晏,"
 钟薛高和哈根达斯，我都不怎么吃 ​ ",赞, , 评论,钟薛高 哈根达斯
"
                        2022年07月11日 15:39
                        ",唸dream,"
 听专家说，卡拉胶对人体的好处 难道大家错怪它了？ ",赞, , 评论,专家 卡拉胶 人体 好处 错怪
"
                        2022年07月11日 15:39
                        ",正义的反派角色ovo,"
 钟薛高 / :拉稀吗/ :老板决定品牌 ，了/ : / :当大家/ : ？这就是我说的，我真的对钟薛高的各种噱头没法忍。扯淡呢。就不说可实现性了，你真这么干，那说明你家工厂里品控都完犊子成啥样了 ",赞, , 评论,钟薛高 拉稀 老板 品牌 真的 钟薛高 噱头 没法 扯淡 你家 工厂 里品 控都 犊子 啥样
"
                        2022年07月11日 15:32
                        ",richietina623,"
 我投给了“太贵，从来没吃过”。如果不是现在炒得这么厉害，我都不知道有这个品牌，暂时不想尝试。老罗说的对。现在怎么这么多关于钟薛高的实验？因为太出名了吗？ ",赞, , 评论,投给 太贵 没吃过 炒得 厉害 品牌 暂时 不想 尝试 老罗 钟薛高 实验 出名
"
                        2022年07月11日 15:32
                        ",跨境知道,"
 “烧不化”的钟薛高，为什么不值得同情？ 钟薛高，最近一个频繁出现在大家视野中的品牌字眼，起初是因为其里面含有卡拉胶被网友曝光引发热议，随后就不断有人发现在高温环境里，钟薛高很难融化，好不容易等了.原文链接 ​ ",赞, , 评论,烧不化 钟薛高 值得 同情 钟薛高 频繁 视野 品牌 字眼 是因为 含有 卡拉胶 网友 曝光 引发 热议 有人 发现 高温 环境 钟薛高 融化 好不容易 原文 链接
"
                        2022年07月11日 15:29
                        ",TJT小少爷,"
 最近热议的雪糕刺客～钟薛高，20块钱的雪糕真的不咋滴，吃的我呱直撇嘴，最后还是甩给我解决掉这一点都不好吃的雪糕，心疼我那20大洋啊！ ​ ",赞, , 评论,热议 雪糕 刺客 钟薛高 块钱 雪糕 真的 呱直 撇嘴 解决 一点 好吃 雪糕 心疼 大洋
"
                        2022年07月11日 15:28
                        ",送自己一匹马,"
 看到一个记者用火烧钟薛高的冰棍。记者难道不应该从专业角度考虑问题吗。 用火烧不化就证明不好吗？ ​ ",1, , 1,记者 火烧 钟薛高 冰棍 记者 专业 角度 火烧 不化 证明 不好
"
                        2022年07月11日 15:26
                        ",娱圈小仙女,"
 钟薛高是向舆论低头了么？ ​ ",赞, , 1,钟薛高 舆论 低头
"
                        2022年07月11日 15:25
                        ",伟大航路咨询,"
 老罗对比的角度有问题，之所以国产雪糕贵被喷，是因为国产雪糕以前并且在很长一段时间内是比较便宜的，在大家的印象中，雪糕从来是只有国外的哈根达斯贵，国产雪糕是又便宜又好吃，现在突然有个国产雪糕卖那么贵，大家其实还没有适应，哪怕你是慢涨价，不能说大家觉得哈根达 ​ ",赞, , 评论,老罗 角度 国产 雪糕 是因为 国产 雪糕 一段时间 便宜 印象 雪糕 国外 哈根达斯 国产 雪糕 便宜 好吃 有个 国产 雪糕 涨价 哈根
